year,month,음식료품_negative,음식료품_positive,음식료품_negative_rate,음식료품_positive_rate,섬유의복_negative,섬유의복_positive,섬유의복_negative_rate,섬유의복_positive_rate,종이목재_negative,종이목재_positive,종이목재_negative_rate,종이목재_positive_rate,화학_negative,화학_positive,화학_negative_rate,화학_positive_rate,의약품_negative,의약품_positive,의약품_negative_rate,의약품_positive_rate,비금속광물_negative,비금속광물_positive,비금속광물_negative_rate,비금속광물_positive_rate,철강금속_negative,철강금속_positive,철강금속_negative_rate,철강금속_positive_rate,기계_negative,기계_positive,기계_negative_rate,기계_positive_rate,전기전자_negative,전기전자_positive,전기전자_negative_rate,전기전자_positive_rate,의료정밀_negative,의료정밀_positive,의료정밀_negative_rate,의료정밀_positive_rate,운수장비_negative,운수장비_positive,운수장비_negative_rate,운수장비_positive_rate,유통업_negative,유통업_positive,유통업_negative_rate,유통업_positive_rate,전기가스업_negative,전기가스업_positive,전기가스업_negative_rate,전기가스업_positive_rate,건설업_negative,건설업_positive,건설업_negative_rate,건설업_positive_rate,운수창고_negative,운수창고_positive,운수창고_negative_rate,운수창고_positive_rate,통신업_negative,통신업_positive,통신업_negative_rate,통신업_positive_rate,금융업_negative,금융업_positive,금융업_negative_rate,금융업_positive_rate,은행_negative,은행_positive,은행_negative_rate,은행_positive_rate,증권_negative,증권_positive,증권_negative_rate,증권_positive_rate,보험_negative,보험_positive,보험_negative_rate,보험_positive_rate,서비스업_negative,서비스업_positive,서비스업_negative_rate,서비스업_positive_rate
2014,2,5303,7776,0.4054591329612356,0.5945408670387644,11032,11698,0.4853497580290365,0.5146502419709634,11150,12795,0.4656504489455001,0.5343495510544999,22599,23206,0.4933740857984936,0.5066259142015064,23240,23520,0.49700598802395207,0.5029940119760479,11983,12992,0.4797997997997998,0.5202002002002002,12468,14137,0.4686337154670175,0.5313662845329825,20440,24813,0.45168276136388746,0.5483172386361125,17990,22412,0.4452749863868125,0.5547250136131875,11547,14839,0.43761843401803985,0.5623815659819601,11316,11407,0.497997623553228,0.502002376446772,22757,21420,0.5151323086674061,0.4848676913325939,8865,9653,0.4787234042553192,0.5212765957446809,23490,22197,0.5141506336594655,0.4858493663405345,10754,11685,0.4792548687552921,0.5207451312447079,13223,14265,0.48104627473806755,0.5189537252619325,22169,21067,0.5127440096216116,0.4872559903783884,20762,21152,0.49534761654817006,0.50465238345183,20217,20160,0.5007058473883647,0.49929415261163534,133551,126806,0.5129533678756477,0.48704663212435234,88764,91781,0.49164474230801186,0.5083552576919882
2014,3,7191,10347,0.41002394799863157,0.5899760520013685,12163,12930,0.4847168533057028,0.5152831466942972,11465,13157,0.4656404841198928,0.5343595158801072,25110,26323,0.4882079598701223,0.5117920401298777,25962,26058,0.49907727797001156,0.5009227220299884,13136,14212,0.4803276290770806,0.5196723709229194,13872,15568,0.47119565217391307,0.528804347826087,22836,27590,0.4528616190060683,0.5471383809939317,19704,24683,0.44391375853290377,0.5560862414670962,13510,16969,0.44325601233636275,0.5567439876636373,13681,13877,0.4964438638507874,0.5035561361492126,25416,23545,0.5191070443822634,0.48089295561773654,9539,10398,0.47845713999097156,0.5215428600090284,26071,24854,0.5119489445262642,0.4880510554737359,11394,12027,0.4864864864864865,0.5135135135135135,14066,15023,0.4835504830004469,0.5164495169995531,24660,23290,0.5142857142857142,0.4857142857142857,23517,23870,0.4962753497794754,0.5037246502205246,22917,22320,0.5065985808077459,0.4934014191922541,146916,139496,0.5129533678756477,0.48704663212435234,100440,102672,0.4945054945054945,0.5054945054945055
2014,4,6806,9048,0.4292922921660149,0.5707077078339852,12971,13640,0.48743001014618015,0.5125699898538199,12544,14112,0.47058823529411764,0.5294117647058824,24484,25500,0.489836747759283,0.510163252240717,25383,25500,0.49885030363775723,0.5011496963622428,12644,13527,0.48313018226280996,0.51686981773719,14565,16573,0.4677564390776543,0.5322435609223457,22384,26611,0.45686294519848963,0.5431370548015103,19972,25045,0.4436546193660173,0.5563453806339828,13447,16472,0.4494468398007955,0.5505531601992045,14410,14862,0.49227931128723695,0.5077206887127631,24176,21845,0.5253253949284022,0.47467460507159775,9568,10720,0.471608832807571,0.5283911671924291,25207,23822,0.5141242937853108,0.4858757062146893,11718,12457,0.48471561530506724,0.5152843846949328,14520,15516,0.4834198961246504,0.5165801038753496,24030,23000,0.5109504571550074,0.4890495428449926,23091,23278,0.4979835666070004,0.5020164333929996,22500,21600,0.5102040816326531,0.4897959183673469,141670,134326,0.5133045406455166,0.4866954593544834,100526,100074,0.5011266201395812,0.49887337986041874
2014,5,11132,13382,0.454107856734927,0.5458921432650731,11487,11966,0.4897880868119217,0.5102119131880782,10808,12159,0.47058823529411764,0.5294117647058824,25706,26779,0.48977803181861485,0.5102219681813852,26477,26350,0.5012020368372234,0.49879796316277664,13001,13797,0.4851481453839839,0.5148518546160161,14419,16421,0.46754215304798963,0.5324578469520104,23378,27852,0.45633417919187974,0.5436658208081202,21020,26100,0.44609507640067914,0.5539049235993209,12564,15476,0.44807417974322394,0.5519258202567761,12214,12732,0.4896175739597531,0.510382426040247,24510,21930,0.5277777777777778,0.4722222222222222,8188,9256,0.46938775510204084,0.5306122448979592,26845,25370,0.5141242937853108,0.4858757062146893,10530,11520,0.4775510204081633,0.5224489795918368,14272,15570,0.47825212787346694,0.5217478721265331,22860,22223,0.5070647472439722,0.4929352527560278,23870,24490,0.4935897435897436,0.5064102564102564,23507,22672,0.5090409060395418,0.4909590939604582,150400,141376,0.5154639175257731,0.4845360824742268,101555,99417,0.5053191489361702,0.4946808510638298
2014,6,10125,11715,0.4635989010989011,0.5364010989010989,12200,12592,0.4920942239432075,0.5079057760567925,10945,12159,0.4737274930747922,0.5262725069252078,24900,26100,0.48823529411764705,0.5117647058823529,26100,25569,0.5051384776171399,0.49486152238286013,12660,13293,0.4878048780487805,0.5121951219512195,14531,16482,0.46854544868281045,0.5314545513171895,23084,27236,0.45874403815580284,0.5412559618441971,20958,25740,0.44879866375433636,0.5512013362456636,13601,15984,0.45972621260774044,0.5402737873922596,11718,12420,0.4854586129753915,0.5145413870246085,23180,20872,0.5261963134477435,0.4738036865522564,8877,9880,0.47326331502905583,0.5267366849709442,24570,23377,0.512440820072163,0.487559179927837,10584,11969,0.46929455061410896,0.530705449385891,13390,14578,0.47876144164759726,0.5212385583524027,23940,23408,0.5056179775280899,0.4943820224719101,23140,23721,0.49380081517679947,0.5061991848232005,22800,22456,0.5038006010252785,0.4961993989747216,144100,135454,0.5154639175257731,0.4845360824742268,98610,96534,0.5053191489361702,0.4946808510638298
2014,7,10077,11491,0.46721995548961426,0.5327800445103857,14049,14481,0.49242902208201894,0.5075709779179811,13452,14912,0.47426315047242984,0.5257368495275702,25730,27188,0.4862239691598322,0.5137760308401678,26970,26660,0.5028901734104047,0.49710982658959535,14220,14933,0.4877714128906116,0.5122285871093883,15510,17824,0.4652906941861163,0.5347093058138838,24417,28210,0.4639633648127387,0.5360366351872613,21752,26370,0.45201778812185694,0.547982211878143,15562,18072,0.4626865671641791,0.5373134328358209,14694,15991,0.47886589538862634,0.5211341046113737,25460,23241,0.5227818730621547,0.4772181269378452,10763,11970,0.4734526899221396,0.5265473100778604,26317,25143,0.5114069179945588,0.4885930820054411,12815,14490,0.46932796191173776,0.5306720380882622,17290,18748,0.4797713524612909,0.5202286475387091,26100,25520,0.5056179775280899,0.4943820224719101,24690,25025,0.4966307955345469,0.5033692044654531,23560,23871,0.4967215534144336,0.5032784465855664,149605,139966,0.5166435865469954,0.4833564134530046,112480,110112,0.5053191489361702,0.4946808510638298
2014,8,9024,10293,0.46715328467153283,0.5328467153284672,12475,12836,0.49286871320769626,0.5071312867923038,12198,13696,0.47107438016528924,0.5289256198347108,25730,27590,0.48255813953488375,0.5174418604651163,26970,26663,0.5028620438908881,0.49713795610911193,12043,12814,0.4844912901798286,0.5155087098201714,14300,16528,0.4638640197223303,0.5361359802776696,24667,28515,0.4638223459065097,0.5361776540934903,21236,24840,0.4608907023179095,0.5391092976820905,13395,15480,0.4638961038961039,0.5361038961038961,12524,13736,0.47692307692307695,0.5230769230769231,23180,21472,0.5191256830601093,0.4808743169398907,9400,10800,0.46534653465346537,0.5346534653465347,26376,24621,0.5172068945232072,0.48279310547679277,11605,13293,0.4661016949152542,0.5338983050847458,14770,16036,0.4794520547945205,0.5205479452054794,25290,24728,0.5056179775280899,0.4943820224719101,24871,25122,0.49748964855079714,0.5025103514492029,23560,24333,0.49192992712922556,0.5080700728707744,150591,140836,0.5167366098542688,0.48326339014573116,105260,103461,0.5043095807321736,0.4956904192678264
2014,9,8941,10195,0.46723453177257523,0.5327654682274248,12285,12870,0.4883720930232558,0.5116279069767442,12388,13184,0.4844361019865478,0.5155638980134523,25071,26700,0.4842672538679956,0.5157327461320044,26101,26100,0.5000095783605678,0.4999904216394322,11712,12677,0.4802164910410431,0.5197835089589569,13455,15765,0.46047227926078027,0.5395277207392197,24300,27600,0.4682080924855491,0.5317919075144508,22022,25740,0.46107784431137727,0.5389221556886228,12852,14755,0.4655341036693592,0.5344658963306408,12547,13600,0.479863846712816,0.520136153287184,23655,21952,0.5186703795469993,0.48132962045300065,9055,10368,0.46619986613808373,0.5338001338619163,26805,24534,0.5221176883071349,0.47788231169286505,10719,12222,0.46724205570812083,0.5327579442918792,14210,15476,0.47867681735498213,0.5213231826450179,24379,23496,0.5092219321148825,0.4907780678851175,24300,24822,0.4946866984243313,0.5053133015756688,22800,23921,0.48800325335502237,0.5119967466449776,144834,136230,0.5153061224489796,0.4846938775510204,98682,96914,0.5045195198265813,0.49548048017341867
2014,10,10586,12101,0.4666108343985542,0.5333891656014458,14364,15178,0.486223004535915,0.5137769954640851,13902,14475,0.48990379532720163,0.5100962046727984,26040,27590,0.48554913294797686,0.5144508670520231,27431,26970,0.5042370544659106,0.49576294553408945,13237,14539,0.4765625,0.5234375,14885,17678,0.4571139022817308,0.5428860977182692,25110,28520,0.4682080924855491,0.5317919075144508,22715,26550,0.46107784431137727,0.5389221556886228,13996,16206,0.46341301900536386,0.5365869809946361,13951,14960,0.4825498945038221,0.5174501054961779,26125,24475,0.5163043478260869,0.483695652173913,10385,11502,0.4744825695618404,0.5255174304381597,27264,24708,0.5245901639344263,0.47540983606557374,12312,13608,0.475,0.525,16402,17710,0.480827861163227,0.5191721388367729,24656,23688,0.5100115836505047,0.4899884163494953,25152,25730,0.49432019181635944,0.5056798081836406,23560,25110,0.4840764331210191,0.5159235668789809,150591,141645,0.5153061224489796,0.4846938775510204,107520,105280,0.5052631578947369,0.49473684210526314
2014,11,12078,13884,0.46521839611740234,0.5347816038825977,13268,14224,0.48261312381783794,0.5173868761821621,12726,13534,0.4846153846153846,0.5153846153846153,25521,26700,0.4887114379272706,0.5112885620727293,27000,26100,0.5084745762711864,0.4915254237288136,13481,15142,0.4709848723054886,0.5290151276945114,14748,17550,0.4566227010960431,0.5433772989039569,24300,27600,0.4682080924855491,0.5317919075144508,21714,25380,0.46107784431137727,0.5389221556886228,13892,15984,0.46498861962779486,0.5350113803722051,13440,14400,0.4827586206896552,0.5172413793103449,25745,24119,0.5163043478260869,0.483695652173913,10210,11070,0.47979323308270677,0.5202067669172933,26784,24273,0.5245901639344263,0.47540983606557374,12246,13356,0.47832200609327397,0.5216779939067261,15336,16613,0.4800150239444114,0.5199849760555886,24823,23763,0.5109084921582349,0.48909150784176514,24640,24900,0.497375857892612,0.5026241421073879,22800,24478,0.4822539024493422,0.5177460975506578,145440,136800,0.5153061224489796,0.4846938775510204,106656,104434,0.5052631578947369,0.49473684210526314
