음식료품_negative,음식료품_positive,음식료품_negative_rate,음식료품_positive_rate,종이목재_negative,종이목재_positive,종이목재_negative_rate,종이목재_positive_rate,섬유의복_negative,섬유의복_positive,섬유의복_negative_rate,섬유의복_positive_rate,종이목재_negative,종이목재_positive,종이목재_negative_rate,종이목재_positive_rate,화학_negative,화학_positive,화학_negative_rate,화학_positive_rate,의약품_negative,의약품_positive,의약품_negative_rate,의약품_positive_rate,비금속광물_negative,비금속광물_positive,비금속광물_negative_rate,비금속광물_positive_rate,철강금속_negative,철강금속_positive,철강금속_negative_rate,철강금속_positive_rate,기계_negative,기계_positive,기계_negative_rate,기계_positive_rate,전기전자_negative,전기전자_positive,전기전자_negative_rate,전기전자_positive_rate,의료정밀_negative,의료정밀_positive,의료정밀_negative_rate,의료정밀_positive_rate,운수장비_negative,운수장비_positive,운수장비_negative_rate,운수장비_positive_rate,유통업_negative,유통업_positive,유통업_negative_rate,유통업_positive_rate,전기가스업_negative,전기가스업_positive,전기가스업_negative_rate,전기가스업_positive_rate,건설업_negative,건설업_positive,건설업_negative_rate,건설업_positive_rate,운수창고_negative,운수창고_positive,운수창고_negative_rate,운수창고_positive_rate,통신업_negative,통신업_positive,통신업_negative_rate,통신업_positive_rate,금융업_negative,금융업_positive,금융업_negative_rate,금융업_positive_rate,은행_negative,은행_positive,은행_negative_rate,은행_positive_rate,증권_negative,증권_positive,증권_negative_rate,증권_positive_rate,보험_negative,보험_positive,보험_negative_rate,보험_positive_rate,서비스업_negative,서비스업_positive,서비스업_negative_rate,서비스업_positive_rate
0,5,0.0,1.0,0,3,0.0,1.0,3,4,0.42857142857142855,0.5714285714285714,0,3,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0,2,0.0,1.0,4,1,0.8,0.2,3,5,0.375,0.625,4,2,0.6666666666666666,0.3333333333333333,3,4,0.42857142857142855,0.5714285714285714,0,2,0.0,1.0,1,3,0.25,0.75,1,0,1.0,0.0,2,1,0.6666666666666666,0.3333333333333333,1,9,0.1,0.9,2,3,0.4,0.6,1,2,0.3333333333333333,0.6666666666666666,1,8,0.1111111111111111,0.8888888888888888,1,4,0.2,0.8,0,3,0.0,1.0,0,10,0.0,1.0,1,1,0.5,0.5
0,5,0.0,1.0,0,3,0.0,1.0,2,3,0.4,0.6,0,3,0.0,1.0,1,9,0.1,0.9,0,0,,,1,4,0.2,0.8,1,7,0.125,0.875,4,4,0.5,0.5,1,6,0.14285714285714285,0.8571428571428571,2,4,0.3333333333333333,0.6666666666666666,0,8,0.0,1.0,0,1,0.0,1.0,0,0,,,3,0,1.0,0.0,1,6,0.14285714285714285,0.8571428571428571,1,3,0.25,0.75,0,2,0.0,1.0,0,1,0.0,1.0,0,3,0.0,1.0,0,12,0.0,1.0,0,0,,
0,5,0.0,1.0,0,7,0.0,1.0,3,6,0.3333333333333333,0.6666666666666666,0,7,0.0,1.0,2,12,0.14285714285714285,0.8571428571428571,0,1,0.0,1.0,2,1,0.6666666666666666,0.3333333333333333,0,7,0.0,1.0,1,5,0.16666666666666666,0.8333333333333334,8,7,0.5333333333333333,0.4666666666666667,1,3,0.25,0.75,1,1,0.5,0.5,0,1,0.0,1.0,1,3,0.25,0.75,0,2,0.0,1.0,1,8,0.1111111111111111,0.8888888888888888,0,6,0.0,1.0,0,7,0.0,1.0,0,3,0.0,1.0,2,7,0.2222222222222222,0.7777777777777778,1,9,0.1,0.9,0,2,0.0,1.0
1,11,0.08333333333333333,0.9166666666666666,0,9,0.0,1.0,0,7,0.0,1.0,0,9,0.0,1.0,2,3,0.4,0.6,1,1,0.5,0.5,0,9,0.0,1.0,2,15,0.11764705882352941,0.8823529411764706,1,4,0.2,0.8,0,2,0.0,1.0,0,7,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,0,2,0.0,1.0,1,8,0.1111111111111111,0.8888888888888888,0,2,0.0,1.0,0,11,0.0,1.0,1,5,0.16666666666666666,0.8333333333333334,0,4,0.0,1.0,0,3,0.0,1.0,1,7,0.125,0.875,6,16,0.2727272727272727,0.7272727272727273,1,1,0.5,0.5
1,9,0.1,0.9,1,9,0.1,0.9,1,11,0.08333333333333333,0.9166666666666666,1,9,0.1,0.9,1,10,0.09090909090909091,0.9090909090909091,0,5,0.0,1.0,0,6,0.0,1.0,3,8,0.2727272727272727,0.7272727272727273,1,4,0.2,0.8,3,7,0.3,0.7,2,6,0.25,0.75,2,8,0.2,0.8,0,3,0.0,1.0,2,7,0.2222222222222222,0.7777777777777778,4,4,0.5,0.5,0,8,0.0,1.0,1,10,0.09090909090909091,0.9090909090909091,1,2,0.3333333333333333,0.6666666666666666,0,5,0.0,1.0,0,2,0.0,1.0,0,14,0.0,1.0,0,0,,
1,2,0.3333333333333333,0.6666666666666666,0,1,0.0,1.0,0,1,0.0,1.0,0,1,0.0,1.0,8,9,0.47058823529411764,0.5294117647058824,0,5,0.0,1.0,0,2,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666,1,6,0.14285714285714285,0.8571428571428571,5,5,0.5,0.5,0,3,0.0,1.0,1,1,0.5,0.5,0,1,0.0,1.0,0,1,0.0,1.0,0,2,0.0,1.0,0,2,0.0,1.0,0,1,0.0,1.0,0,3,0.0,1.0,0,4,0.0,1.0,0,3,0.0,1.0,0,8,0.0,1.0,0,2,0.0,1.0
3,3,0.5,0.5,0,0,,,0,3,0.0,1.0,0,0,,,1,3,0.25,0.75,0,1,0.0,1.0,2,2,0.5,0.5,0,1,0.0,1.0,2,4,0.3333333333333333,0.6666666666666666,2,2,0.5,0.5,1,3,0.25,0.75,0,0,,,0,2,0.0,1.0,0,0,,,2,1,0.6666666666666666,0.3333333333333333,0,0,,,0,0,,,1,1,0.5,0.5,0,8,0.0,1.0,4,0,1.0,0.0,1,9,0.1,0.9,0,1,0.0,1.0
1,5,0.16666666666666666,0.8333333333333334,3,6,0.3333333333333333,0.6666666666666666,2,7,0.2222222222222222,0.7777777777777778,3,6,0.3333333333333333,0.6666666666666666,2,1,0.6666666666666666,0.3333333333333333,0,2,0.0,1.0,6,11,0.35294117647058826,0.6470588235294118,2,9,0.18181818181818182,0.8181818181818182,3,2,0.6,0.4,1,6,0.14285714285714285,0.8571428571428571,2,13,0.13333333333333333,0.8666666666666667,2,1,0.6666666666666666,0.3333333333333333,1,7,0.125,0.875,4,6,0.4,0.6,2,1,0.6666666666666666,0.3333333333333333,1,5,0.16666666666666666,0.8333333333333334,2,6,0.25,0.75,0,8,0.0,1.0,0,3,0.0,1.0,2,2,0.5,0.5,0,11,0.0,1.0,0,1,0.0,1.0
1,8,0.1111111111111111,0.8888888888888888,2,6,0.25,0.75,2,5,0.2857142857142857,0.7142857142857143,2,6,0.25,0.75,0,10,0.0,1.0,0,0,,,2,7,0.2222222222222222,0.7777777777777778,2,10,0.16666666666666666,0.8333333333333334,2,3,0.4,0.6,2,4,0.3333333333333333,0.6666666666666666,2,8,0.2,0.8,2,3,0.4,0.6,0,3,0.0,1.0,1,5,0.16666666666666666,0.8333333333333334,0,3,0.0,1.0,1,8,0.1111111111111111,0.8888888888888888,2,10,0.16666666666666666,0.8333333333333334,1,7,0.125,0.875,0,4,0.0,1.0,2,1,0.6666666666666666,0.3333333333333333,2,9,0.18181818181818182,0.8181818181818182,0,2,0.0,1.0
1,0,1.0,0.0,0,0,,,1,4,0.2,0.8,0,0,,,1,5,0.16666666666666666,0.8333333333333334,0,1,0.0,1.0,4,3,0.5714285714285714,0.42857142857142855,1,2,0.3333333333333333,0.6666666666666666,1,0,1.0,0.0,1,3,0.25,0.75,3,8,0.2727272727272727,0.7272727272727273,0,2,0.0,1.0,0,2,0.0,1.0,1,6,0.14285714285714285,0.8571428571428571,1,1,0.5,0.5,2,8,0.2,0.8,2,1,0.6666666666666666,0.3333333333333333,1,9,0.1,0.9,3,2,0.6,0.4,6,0,1.0,0.0,0,12,0.0,1.0,1,2,0.3333333333333333,0.6666666666666666
